"Code reference","Meaning","Source key (JP)","EN","RU"
"ThruFlow","Application name","スルフロ","ThruFlow","ThruFlow"
"Direction","Persistent activity area connecting Tasks and Flow history; the internal identifier remains Direction","分野","Area","Сфера"
"DirectionType.neutral","Anytime Area for planned Tasks","通常","Anytime","Обычное"
"DirectionType.habit","Habit Area that automatically creates recurring Tasks","習慣","Habit","Привычка"
"HabitStatus.active","Habit is active and creates scheduled Tasks","有効","Active","Активна"
"HabitStatus.paused","Habit temporarily creates no Tasks and is excluded from expected statistics","一時停止中","Paused","Приостановлена"
"HabitPause.today","Pause a Habit for the current app day only","今日は休む","Rest Today","Отдохнуть сегодня"
"HabitPause.untilDate","Pause a Habit through the selected date","期間を指定","Choose Period","Выбрать период"
"HabitPause.indefinite","Pause a Habit until manually resumed","再開するまで一時停止","Pause Until Resumed","Приостановить до возобновления"
"HabitPause.resume","Resume Habit Task generation","再開","Resume","Возобновить"
"DirectionType.nice","Optional Area for positive activities","ナイス","Optional","Если получится"
"DefaultDirections.other","System Area for Flow without a selected Area; the internal identifier remains Direction","その他","Other","Другое"
"Todo","Concrete user action","対象タスク","Task","Задача"
"Navigation.tasks","Navigation item for the Task collection","タスク","Tasks","Задачи"
"Navigation.directions","Navigation item for the Area collection; the internal identifier remains Direction","方向","Areas","Сферы"
"TodoMeasurement.checkbox","Task completed with a checkmark","チェック","Check","Отметка"
"TodoMeasurement.focusBlocks","Task whose progress is measured in focused Blocks","集中ブロック","Focus Blocks","Блоки фокуса"
"TodoMeasurement.minutes","Task whose progress is measured in focused minutes","分単位","Minutes","Минуты"
"TodoPriority.high","High Task priority","高","High","Высокий"
"TodoPriority.medium","Medium Task priority","中","Medium","Средний"
"TodoPriority.low","Low Task priority","低","Low","Низкий"
"Todo.isFlexible","Additional marker for a low-priority Task","余裕があれば","If there is room","Если останется время"
"TodoStatus.active","Active incomplete Task","進行中","Active","Активная"
"TodoStatus.completed","Completed Task","完了済み","Completed","Выполнена"
"TodoStatus.archived","Archived Task retained for history","アーカイブ済み","Archived","В архиве"
"TaskBacklog.overdue","Active Tasks scheduled before today","やり残し","Overdue","Просроченные"
"TaskBacklog.unscheduled","Active Tasks without a scheduled date","日付なし","No Date","Без даты"
"Inbox","Projection of Tasks without a scheduled date","日付なし","Inbox","Входящие"
"GoalPeriod.daily","Area goal for every day","毎日","Daily","Ежедневно"
"GoalPeriod.weekly","Area goal for each week","毎週","Weekly","Еженедельно"
"GoalUnit.occurrences","Goal measured by completion count","回","Occurrences","раз"
"GoalUnit.focusBlocks","Goal measured in focused Blocks","フローブロック","Focus Blocks","Блоки фокуса"
"GoalUnit.minutes","Goal measured in minutes","分単位","Minutes","Минуты"
"GoalUnit.hours","Goal measured in hours","時間単位","Hours","Часы"
"GoalScheduleKind.everyDay","Habit schedule for every day","毎日予定","Every Day","Каждый день"
"GoalScheduleKind.weeklyCount","Schedule with a target completion count per week","週回","Times per Week","Количество раз в неделю"
"GoalScheduleKind.weekdays","Schedule for selected weekdays","曜日","Weekdays","Дни недели"
"TaskCalendarRange.oneDay","One-day Task view","日","Day","День"
